"Plot Title: CMSM3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20154563, LBL: CM3SM 1 m)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20652824, LBL: CM3SM 10 cm)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20658013, LBL: CM3SM 30 cm)"
41,07/21/19 07:30:01 AM,0.2603,0.2840,0.2604
42,07/21/19 08:00:01 AM,0.2603,0.2844,0.2604
43,07/21/19 08:30:01 AM,0.2596,0.2844,0.2607
44,07/21/19 09:00:01 AM,0.2596,0.2847,0.2604
45,07/21/19 09:30:01 AM,0.2596,0.2847,0.2607
46,07/21/19 10:00:01 AM,0.2596,0.2847,0.2607
47,07/21/19 10:30:01 AM,0.2596,0.2847,0.2607
48,07/21/19 11:00:01 AM,0.2596,0.2844,0.2607
49,07/21/19 11:30:01 AM,0.2589,0.2847,0.2607
50,07/21/19 12:00:01 PM,0.2589,0.2844,0.2611
51,07/21/19 12:30:01 PM,0.2589,0.2840,0.2607
52,07/21/19 01:00:01 PM,0.2581,0.2840,0.2611
53,07/21/19 01:30:01 PM,0.2581,0.2837,0.2607
54,07/21/19 02:00:01 PM,0.2581,0.2834,0.2607
55,07/21/19 02:30:01 PM,0.2574,0.2830,0.2607
56,07/21/19 03:00:01 PM,0.2574,0.2827,0.2611
57,07/21/19 03:30:01 PM,0.2574,0.2827,0.2607
58,07/21/19 04:00:01 PM,0.2567,0.2824,0.2607
59,07/21/19 04:30:01 PM,0.2567,0.2821,0.2611
60,07/21/19 05:00:01 PM,0.2567,0.2817,0.2611
61,07/21/19 05:30:01 PM,0.2567,0.2817,0.2611
62,07/21/19 06:00:01 PM,0.2560,0.2817,0.2611
63,07/21/19 06:30:01 PM,0.2560,0.2817,0.2607
64,07/21/19 07:00:01 PM,0.2552,0.2817,0.2611
65,07/21/19 07:30:01 PM,0.2552,0.2813,0.2615
66,07/21/19 08:00:01 PM,0.2552,0.2813,0.2611
67,07/21/19 08:30:01 PM,0.2552,0.2810,0.2611
68,07/21/19 09:00:01 PM,0.2545,0.2810,0.2615
69,07/21/19 09:30:01 PM,0.2545,0.2813,0.2615
70,07/21/19 10:00:01 PM,0.2545,0.2813,0.2615
71,07/21/19 10:30:01 PM,0.2538,0.2806,0.2615
72,07/21/19 11:00:01 PM,0.2538,0.2806,0.2611
73,07/21/19 11:30:01 PM,0.2538,0.2806,0.2611
74,07/22/19 12:00:01 AM,0.2538,0.2803,0.2615
75,07/22/19 12:30:01 AM,0.2530,0.2806,0.2615
76,07/22/19 01:00:01 AM,0.2530,0.2803,0.2618
77,07/22/19 01:30:01 AM,0.2523,0.2806,0.2611
78,07/22/19 02:00:01 AM,0.2523,0.2806,0.2615
79,07/22/19 02:30:01 AM,0.2523,0.2806,0.2615
80,07/22/19 03:00:01 AM,0.2523,0.2806,0.2615
81,07/22/19 03:30:01 AM,0.2523,0.2813,0.2607
82,07/22/19 04:00:01 AM,0.2516,0.2813,0.2611
83,07/22/19 04:30:01 AM,0.2516,0.2813,0.2611
84,07/22/19 05:00:01 AM,0.2516,0.2817,0.2611
85,07/22/19 05:30:01 AM,0.2509,0.2821,0.2611
86,07/22/19 06:00:01 AM,0.2509,0.2817,0.2611
87,07/22/19 06:30:01 AM,0.2509,0.2821,0.2611
88,07/22/19 07:00:01 AM,0.2509,0.2824,0.2611
89,07/22/19 07:30:01 AM,0.2509,0.2824,0.2618
90,07/22/19 08:00:01 AM,0.2501,0.2827,0.2611
91,07/22/19 08:30:01 AM,0.2501,0.2837,0.2611
92,07/22/19 09:00:01 AM,0.2509,0.2834,0.2611
93,07/22/19 09:30:01 AM,0.2501,0.2834,0.2615
94,07/22/19 10:00:01 AM,0.2501,0.2834,0.2611
95,07/22/19 10:30:01 AM,0.2501,0.2830,0.2611
96,07/22/19 11:00:01 AM,0.2494,0.2834,0.2611
97,07/22/19 11:30:01 AM,0.2494,0.2830,0.2615
98,07/22/19 12:00:01 PM,0.2494,0.2827,0.2615
99,07/22/19 12:30:01 PM,0.2494,0.2830,0.2615
100,07/22/19 01:00:01 PM,0.2487,0.2827,0.2611
101,07/22/19 01:30:01 PM,0.2487,0.2824,0.2611
102,07/22/19 02:00:01 PM,0.2487,0.2824,0.2611
103,07/22/19 02:30:01 PM,0.2487,0.2821,0.2611
104,07/22/19 03:00:01 PM,0.2480,0.2817,0.2611
105,07/22/19 03:30:01 PM,0.2480,0.2813,0.2611
106,07/22/19 04:00:01 PM,0.2480,0.2810,0.2615
107,07/22/19 04:30:01 PM,0.2480,0.2806,0.2615
108,07/22/19 05:00:01 PM,0.2472,0.2806,0.2611
109,07/22/19 05:30:01 PM,0.2472,0.2806,0.2611
110,07/22/19 06:00:01 PM,0.2472,0.2803,0.2611
111,07/22/19 06:30:01 PM,0.2472,0.2803,0.2615
112,07/22/19 07:00:01 PM,0.2465,0.2800,0.2615
113,07/22/19 07:30:01 PM,0.2465,0.2800,0.2615
114,07/22/19 08:00:01 PM,0.2465,0.2796,0.2611
115,07/22/19 08:30:01 PM,0.2458,0.2796,0.2611
116,07/22/19 09:00:01 PM,0.2458,0.2793,0.2615
117,07/22/19 09:30:01 PM,0.2458,0.2793,0.2615
118,07/22/19 10:00:01 PM,0.2451,0.2793,0.2615
119,07/22/19 10:30:01 PM,0.2451,0.2793,0.2611
120,07/22/19 11:00:01 PM,0.2451,0.2790,0.2615
121,07/22/19 11:30:01 PM,0.2451,0.2790,0.2618
122,07/23/19 12:00:01 AM,0.2443,0.2793,0.2611
123,07/23/19 12:30:01 AM,0.2443,0.2790,0.2615
124,07/23/19 01:00:01 AM,0.2443,0.2786,0.2618
125,07/23/19 01:30:01 AM,0.2443,0.2786,0.2615
126,07/23/19 02:00:01 AM,0.2443,0.2790,0.2618
127,07/23/19 02:30:01 AM,0.2443,0.2793,0.2615
128,07/23/19 03:00:01 AM,0.2436,0.2790,0.2618
129,07/23/19 03:30:01 AM,0.2436,0.2793,0.2618
130,07/23/19 04:00:01 AM,0.2436,0.2796,0.2618
131,07/23/19 04:30:01 AM,0.2436,0.2796,0.2618
132,07/23/19 05:00:01 AM,0.2436,0.2800,0.2615
133,07/23/19 05:30:01 AM,0.2429,0.2800,0.2611
134,07/23/19 06:00:01 AM,0.2429,0.2803,0.2615
135,07/23/19 06:30:01 AM,0.2429,0.2806,0.2615
136,07/23/19 07:00:01 AM,0.2429,0.2810,0.2615
137,07/23/19 07:30:01 AM,0.2429,0.2810,0.2615
138,07/23/19 08:00:01 AM,0.2429,0.2813,0.2611
139,07/23/19 08:30:01 AM,0.2422,0.2817,0.2611
140,07/23/19 09:00:01 AM,0.2429,0.2824,0.2615
141,07/23/19 09:30:01 AM,0.2422,0.2817,0.2615
142,07/23/19 10:00:01 AM,0.2422,0.2824,0.2611
143,07/23/19 10:30:01 AM,0.2422,0.2821,0.2611
144,07/23/19 11:00:01 AM,0.2422,0.2813,0.2615
145,07/23/19 11:30:01 AM,0.2414,0.2813,0.2615
146,07/23/19 12:00:01 PM,0.2414,0.2810,0.2615
147,07/23/19 12:30:01 PM,0.2414,0.2806,0.2615
148,07/23/19 01:00:01 PM,0.2414,0.2810,0.2615
149,07/23/19 01:30:01 PM,0.2414,0.2803,0.2615
150,07/23/19 02:00:01 PM,0.2414,0.2803,0.2611
151,07/23/19 02:30:01 PM,0.2407,0.2796,0.2615
152,07/23/19 03:00:01 PM,0.2407,0.2796,0.2615
153,07/23/19 03:30:01 PM,0.2407,0.2796,0.2611
154,07/23/19 04:00:01 PM,0.2407,0.2793,0.2615
155,07/23/19 04:30:01 PM,0.2400,0.2793,0.2611
156,07/23/19 05:00:01 PM,0.2400,0.2790,0.2611
157,07/23/19 05:30:01 PM,0.2400,0.2790,0.2611
158,07/23/19 06:00:01 PM,0.2400,0.2786,0.2611
159,07/23/19 06:30:01 PM,0.2392,0.2783,0.2615
160,07/23/19 07:00:01 PM,0.2392,0.2783,0.2618
161,07/23/19 07:30:01 PM,0.2392,0.2783,0.2611
162,07/23/19 08:00:01 PM,0.2392,0.2780,0.2607
163,07/23/19 08:30:01 PM,0.2385,0.2780,0.2607
164,07/23/19 09:00:01 PM,0.2385,0.2776,0.2607
165,07/23/19 09:30:01 PM,0.2385,0.2773,0.2611
166,07/23/19 10:00:01 PM,0.2385,0.2773,0.2611
167,07/23/19 10:30:01 PM,0.2378,0.2773,0.2615
168,07/23/19 11:00:01 PM,0.2378,0.2773,0.2611
169,07/23/19 11:30:01 PM,0.2378,0.2773,0.2611
170,07/24/19 12:00:01 AM,0.2371,0.2773,0.2611
171,07/24/19 12:30:01 AM,0.2371,0.2773,0.2607
172,07/24/19 01:00:01 AM,0.2371,0.2773,0.2607
173,07/24/19 01:30:01 AM,0.2371,0.2773,0.2615
174,07/24/19 02:00:01 AM,0.2371,0.2776,0.2611
175,07/24/19 02:30:01 AM,0.2363,0.2783,0.2611
176,07/24/19 03:00:01 AM,0.2363,0.2783,0.2611
177,07/24/19 03:30:01 AM,0.2363,0.2786,0.2611
178,07/24/19 04:00:01 AM,0.2356,0.2790,0.2607
179,07/24/19 04:30:01 AM,0.2356,0.2790,0.2607
180,07/24/19 05:00:01 AM,0.2356,0.2793,0.2607
181,07/24/19 05:30:01 AM,0.2356,0.2793,0.2611
182,07/24/19 06:00:01 AM,0.2356,0.2800,0.2607
183,07/24/19 06:30:01 AM,0.2349,0.2800,0.2604
184,07/24/19 07:00:01 AM,0.2349,0.2800,0.2611
185,07/24/19 07:30:01 AM,0.2342,0.2806,0.2604
186,07/24/19 08:00:01 AM,0.2342,0.2806,0.2604
187,07/24/19 08:30:01 AM,0.2349,0.2810,0.2604
188,07/24/19 09:00:01 AM,0.2342,0.2810,0.2607
189,07/24/19 09:30:01 AM,0.2342,0.2806,0.2604
190,07/24/19 10:00:01 AM,0.2342,0.2806,0.2607
191,07/24/19 10:30:01 AM,0.2342,0.2803,0.2607
192,07/24/19 11:00:01 AM,0.2342,0.2803,0.2607
193,07/24/19 11:30:01 AM,0.2342,0.2800,0.2604
194,07/24/19 12:00:01 PM,0.2342,0.2796,0.2604
195,07/24/19 12:30:01 PM,0.2334,0.2800,0.2607
196,07/24/19 01:00:01 PM,0.2334,0.2796,0.2607
197,07/24/19 01:30:01 PM,0.2334,0.2793,0.2604
198,07/24/19 02:00:01 PM,0.2334,0.2790,0.2604
199,07/24/19 02:30:01 PM,0.2334,0.2793,0.2607
200,07/24/19 03:00:01 PM,0.2334,0.2786,0.2607
201,07/24/19 03:30:01 PM,0.2327,0.2780,0.2607
202,07/24/19 04:00:01 PM,0.2327,0.2780,0.2604
203,07/24/19 04:30:01 PM,0.2327,0.2773,0.2604
204,07/24/19 05:00:01 PM,0.2327,0.2776,0.2607
205,07/24/19 05:30:01 PM,0.2327,0.2773,0.2604
206,07/24/19 06:00:01 PM,0.2320,0.2773,0.2604
207,07/24/19 06:30:01 PM,0.2327,0.2770,0.2604
208,07/24/19 07:00:01 PM,0.2320,0.2770,0.2604
209,07/24/19 07:30:01 PM,0.2313,0.2766,0.2604
210,07/24/19 08:00:01 PM,0.2313,0.2770,0.2604
211,07/24/19 08:30:01 PM,0.2313,0.2763,0.2604
212,07/24/19 09:00:01 PM,0.2313,0.2763,0.2604
213,07/24/19 09:30:01 PM,0.2313,0.2763,0.2607
214,07/24/19 10:00:01 PM,0.2305,0.2759,0.2604
215,07/24/19 10:30:01 PM,0.2305,0.2759,0.2604
216,07/24/19 11:00:01 PM,0.2305,0.2756,0.2607
217,07/24/19 11:30:01 PM,0.2298,0.2759,0.2604
218,07/25/19 12:00:01 AM,0.2298,0.2759,0.2607
219,07/25/19 12:30:01 AM,0.2298,0.2759,0.2607
220,07/25/19 01:00:01 AM,0.2298,0.2759,0.2607
221,07/25/19 01:30:01 AM,0.2298,0.2759,0.2607
222,07/25/19 02:00:01 AM,0.2298,0.2759,0.2607
223,07/25/19 02:30:01 AM,0.2298,0.2766,0.2607
224,07/25/19 03:00:01 AM,0.2291,0.2770,0.2607
225,07/25/19 03:30:01 AM,0.2291,0.2763,0.2611
226,07/25/19 04:00:01 AM,0.2291,0.2773,0.2604
227,07/25/19 04:30:01 AM,0.2291,0.2773,0.2604
228,07/25/19 05:00:01 AM,0.2291,0.2776,0.2604
229,07/25/19 05:30:01 AM,0.2291,0.2776,0.2607
230,07/25/19 06:00:01 AM,0.2291,0.2776,0.2604
231,07/25/19 06:30:01 AM,0.2284,0.2780,0.2604
232,07/25/19 07:00:01 AM,0.2284,0.2780,0.2604
233,07/25/19 07:30:01 AM,0.2284,0.2786,0.2604
234,07/25/19 08:00:01 AM,0.2284,0.2786,0.2604
235,07/25/19 08:30:01 AM,0.2276,0.2793,0.2607
236,07/25/19 09:00:01 AM,0.2284,0.2790,0.2607
237,07/25/19 09:30:01 AM,0.2276,0.2790,0.2607
238,07/25/19 10:00:01 AM,0.2276,0.2790,0.2607
239,07/25/19 10:30:01 AM,0.2276,0.2786,0.2604
240,07/25/19 11:00:01 AM,0.2276,0.2786,0.2607
241,07/25/19 11:30:01 AM,0.2276,0.2786,0.2607
242,07/25/19 12:00:01 PM,0.2276,0.2786,0.2607
243,07/25/19 12:30:01 PM,0.2269,0.2786,0.2607
244,07/25/19 01:00:01 PM,0.2269,0.2783,0.2604
245,07/25/19 01:30:01 PM,0.2269,0.2776,0.2604
246,07/25/19 02:00:01 PM,0.2269,0.2773,0.2600
247,07/25/19 02:30:01 PM,0.2269,0.2770,0.2600
248,07/25/19 03:00:01 PM,0.2269,0.2763,0.2600
249,07/25/19 03:30:01 PM,0.2269,0.2763,0.2604
250,07/25/19 04:00:01 PM,0.2262,0.2766,0.2604
251,07/25/19 04:30:01 PM,0.2262,0.2759,0.2600
252,07/25/19 05:00:01 PM,0.2262,0.2759,0.2604
253,07/25/19 05:30:01 PM,0.2262,0.2756,0.2604
254,07/25/19 06:00:01 PM,0.2262,0.2756,0.2604
255,07/25/19 06:30:01 PM,0.2262,0.2753,0.2604
256,07/25/19 07:00:01 PM,0.2254,0.2753,0.2604
257,07/25/19 07:30:01 PM,0.2254,0.2746,0.2607
258,07/25/19 08:00:01 PM,0.2247,0.2749,0.2604
259,07/25/19 08:30:01 PM,0.2247,0.2749,0.2604
260,07/25/19 09:00:01 PM,0.2247,0.2746,0.2607
261,07/25/19 09:30:01 PM,0.2247,0.2749,0.2607
262,07/25/19 10:00:01 PM,0.2240,0.2743,0.2607
263,07/25/19 10:30:01 PM,0.2240,0.2746,0.2607
264,07/25/19 11:00:01 PM,0.2240,0.2746,0.2604
265,07/25/19 11:30:01 PM,0.2240,0.2746,0.2607
266,07/26/19 12:00:01 AM,0.2240,0.2743,0.2607
267,07/26/19 12:30:01 AM,0.2240,0.2739,0.2607
268,07/26/19 01:00:01 AM,0.2233,0.2739,0.2604
269,07/26/19 01:30:01 AM,0.2233,0.2739,0.2611
270,07/26/19 02:00:01 AM,0.2233,0.2739,0.2607
271,07/26/19 02:30:01 AM,0.2233,0.2739,0.2607
272,07/26/19 03:00:01 AM,0.2225,0.2739,0.2611
273,07/26/19 03:30:01 AM,0.2233,0.2743,0.2607
274,07/26/19 04:00:01 AM,0.2225,0.2739,0.2615
275,07/26/19 04:30:01 AM,0.2225,0.2746,0.2615
276,07/26/19 05:00:01 AM,0.2225,0.2746,0.2615
277,07/26/19 05:30:01 AM,0.2225,0.2746,0.2615
278,07/26/19 06:00:01 AM,0.2225,0.2746,0.2611
279,07/26/19 06:30:01 AM,0.2225,0.2749,0.2611
280,07/26/19 07:00:01 AM,0.2225,0.2753,0.2615
281,07/26/19 07:30:01 AM,0.2218,0.2756,0.2611
282,07/26/19 08:00:01 AM,0.2218,0.2756,0.2611
283,07/26/19 08:30:01 AM,0.2218,0.2763,0.2611
284,07/26/19 09:00:01 AM,0.2218,0.2763,0.2611
285,07/26/19 09:30:01 AM,0.2218,0.2759,0.2615
286,07/26/19 10:00:01 AM,0.2218,0.2759,0.2615
287,07/26/19 10:30:01 AM,0.2218,0.2763,0.2615
288,07/26/19 11:00:01 AM,0.2218,0.2759,0.2607
289,07/26/19 11:30:01 AM,0.2218,0.2759,0.2607
290,07/26/19 12:00:01 PM,0.2218,0.2756,0.2611
291,07/26/19 12:30:01 PM,0.2211,0.2756,0.2611
292,07/26/19 01:00:01 PM,0.2211,0.2753,0.2611
293,07/26/19 01:30:01 PM,0.2211,0.2749,0.2611
294,07/26/19 02:00:01 PM,0.2211,0.2746,0.2611
295,07/26/19 02:30:01 PM,0.2211,0.2739,0.2615
296,07/26/19 03:00:01 PM,0.2211,0.2743,0.2611
297,07/26/19 03:30:01 PM,0.2204,0.2739,0.2611
298,07/26/19 04:00:01 PM,0.2204,0.2739,0.2607
299,07/26/19 04:30:01 PM,0.2204,0.2736,0.2607
300,07/26/19 05:00:01 PM,0.2196,0.2732,0.2607
301,07/26/19 05:30:01 PM,0.2196,0.2732,0.2607
302,07/26/19 06:00:01 PM,0.2196,0.2732,0.2607
303,07/26/19 06:30:01 PM,0.2196,0.2729,0.2611
304,07/26/19 07:00:01 PM,0.2196,0.2729,0.2607
305,07/26/19 07:30:01 PM,0.2189,0.2726,0.2607
306,07/26/19 08:00:01 PM,0.2189,0.2722,0.2604
307,07/26/19 08:30:01 PM,0.2189,0.2722,0.2615
308,07/26/19 09:00:01 PM,0.2189,0.2726,0.2607
309,07/26/19 09:30:01 PM,0.2189,0.2719,0.2607
310,07/26/19 10:00:01 PM,0.2182,0.2722,0.2607
311,07/26/19 10:30:01 PM,0.2182,0.2722,0.2604
312,07/26/19 11:00:01 PM,0.2182,0.2715,0.2604
313,07/26/19 11:30:01 PM,0.2182,0.2719,0.2604
314,07/27/19 12:00:01 AM,0.2182,0.2719,0.2604
315,07/27/19 12:30:01 AM,0.2182,0.2715,0.2604
316,07/27/19 01:00:01 AM,0.2182,0.2715,0.2604
317,07/27/19 01:30:01 AM,0.2175,0.2715,0.2607
318,07/27/19 02:00:01 AM,0.2175,0.2715,0.2607
319,07/27/19 02:30:01 AM,0.2175,0.2719,0.2607
320,07/27/19 03:00:01 AM,0.2175,0.2722,0.2604
321,07/27/19 03:30:01 AM,0.2175,0.2726,0.2607
322,07/27/19 04:00:01 AM,0.2175,0.2726,0.2607
323,07/27/19 04:30:01 AM,0.2175,0.2729,0.2607
324,07/27/19 05:00:01 AM,0.2167,0.2729,0.2607
325,07/27/19 05:30:01 AM,0.2167,0.2729,0.2607
326,07/27/19 06:00:01 AM,0.2167,0.2736,0.2607
327,07/27/19 06:30:01 AM,0.2167,0.2736,0.2604
328,07/27/19 07:00:01 AM,0.2167,0.2739,0.2604
329,07/27/19 07:30:01 AM,0.2167,0.2739,0.2607
330,07/27/19 08:00:01 AM,0.2167,0.2743,0.2596
331,07/27/19 08:30:01 AM,0.2160,0.2746,0.2596
332,07/27/19 09:00:01 AM,0.2167,0.2746,0.2596
333,07/27/19 09:30:01 AM,0.2167,0.2753,0.2596
334,07/27/19 10:00:01 AM,0.2167,0.2749,0.2596
335,07/27/19 10:30:01 AM,0.2160,0.2749,0.2592
336,07/27/19 11:00:01 AM,0.2160,0.2743,0.2589
337,07/27/19 11:30:01 AM,0.2160,0.2743,0.2592
338,07/27/19 12:00:01 PM,0.2160,0.2736,0.2592
339,07/27/19 12:30:01 PM,0.2160,0.2739,0.2589
340,07/27/19 01:00:01 PM,0.2160,0.2732,0.2592
341,07/27/19 01:30:01 PM,0.2160,0.2729,0.2592
342,07/27/19 02:00:01 PM,0.2160,0.2722,0.2596
343,07/27/19 02:30:01 PM,0.2153,0.2722,0.2592
344,07/27/19 03:00:01 PM,0.2153,0.2715,0.2589
345,07/27/19 03:30:01 PM,0.2153,0.2712,0.2596
346,07/27/19 04:00:01 PM,0.2153,0.2712,0.2596
347,07/27/19 04:30:01 PM,0.2153,0.2708,0.2592
348,07/27/19 05:00:01 PM,0.2153,0.2708,0.2592
349,07/27/19 05:30:01 PM,0.2153,0.2698,0.2596
350,07/27/19 06:00:01 PM,0.2146,0.2701,0.2592
351,07/27/19 06:30:01 PM,0.2146,0.2701,0.2592
352,07/27/19 07:00:01 PM,0.2146,0.2701,0.2592
353,07/27/19 07:30:01 PM,0.2138,0.2698,0.2592
354,07/27/19 08:00:01 PM,0.2146,0.2694,0.2596
355,07/27/19 08:30:01 PM,0.2138,0.2694,0.2592
356,07/27/19 09:00:01 PM,0.2138,0.2698,0.2592
357,07/27/19 09:30:01 PM,0.2138,0.2694,0.2592
358,07/27/19 10:00:01 PM,0.2131,0.2694,0.2596
359,07/27/19 10:30:01 PM,0.2131,0.2691,0.2592
360,07/27/19 11:00:01 PM,0.2131,0.2694,0.2592
361,07/27/19 11:30:01 PM,0.2131,0.2687,0.2596
362,07/28/19 12:00:01 AM,0.2131,0.2687,0.2600
363,07/28/19 12:30:01 AM,0.2131,0.2687,0.2600
364,07/28/19 01:00:01 AM,0.2131,0.2687,0.2596
365,07/28/19 01:30:01 AM,0.2131,0.2687,0.2596
366,07/28/19 02:00:01 AM,0.2124,0.2691,0.2596
367,07/28/19 02:30:01 AM,0.2124,0.2687,0.2596
368,07/28/19 03:00:01 AM,0.2124,0.2691,0.2592
369,07/28/19 03:30:01 AM,0.2124,0.2698,0.2596
370,07/28/19 04:00:01 AM,0.2124,0.2698,0.2592
371,07/28/19 04:30:01 AM,0.2124,0.2701,0.2596
372,07/28/19 05:00:01 AM,0.2124,0.2701,0.2596
373,07/28/19 05:30:01 AM,0.2124,0.2705,0.2592
374,07/28/19 06:00:01 AM,0.2124,0.2708,0.2596
375,07/28/19 06:30:01 AM,0.2116,0.2712,0.2596
376,07/28/19 07:00:01 AM,0.2116,0.2712,0.2592
377,07/28/19 07:30:01 AM,0.2116,0.2719,0.2596
378,07/28/19 08:00:01 AM,0.2116,0.2719,0.2600
379,07/28/19 08:30:01 AM,0.2116,0.2722,0.2600
380,07/28/19 09:00:01 AM,0.2116,0.2726,0.2600
381,07/28/19 09:30:01 AM,0.2116,0.2722,0.2600
382,07/28/19 10:00:01 AM,0.2116,0.2722,0.2592
383,07/28/19 10:30:01 AM,0.2116,0.2719,0.2592
384,07/28/19 11:00:01 AM,0.2116,0.2719,0.2596
385,07/28/19 11:30:01 AM,0.2116,0.2715,0.2600
386,07/28/19 12:00:01 PM,0.2116,0.2712,0.2596
387,07/28/19 12:30:01 PM,0.2116,0.2708,0.2596
388,07/28/19 01:00:01 PM,0.2116,0.2712,0.2596
389,07/28/19 01:30:01 PM,0.2116,0.2705,0.2596
390,07/28/19 02:00:01 PM,0.2109,0.2701,0.2596
391,07/28/19 02:30:01 PM,0.2109,0.2694,0.2592
392,07/28/19 03:00:01 PM,0.2109,0.2691,0.2592
393,07/28/19 03:30:01 PM,0.2109,0.2684,0.2592
394,07/28/19 04:00:01 PM,0.2109,0.2684,0.2592
395,07/28/19 04:30:01 PM,0.2109,0.2680,0.2592
396,07/28/19 05:00:01 PM,0.2102,0.2684,0.2589
397,07/28/19 05:30:01 PM,0.2102,0.2677,0.2592
398,07/28/19 06:00:01 PM,0.2102,0.2677,0.2592
399,07/28/19 06:30:01 PM,0.2102,0.2680,0.2592
400,07/28/19 07:00:01 PM,0.2102,0.2670,0.2592
401,07/28/19 07:30:01 PM,0.2095,0.2666,0.2596
402,07/28/19 08:00:01 PM,0.2095,0.2670,0.2592
403,07/28/19 08:30:01 PM,0.2095,0.2664,0.2592
404,07/28/19 09:00:01 PM,0.2095,0.2664,0.2589
405,07/28/19 09:30:01 PM,0.2095,0.2666,0.2589
406,07/28/19 10:00:01 PM,0.2095,0.2664,0.2592
407,07/28/19 10:30:01 PM,0.2095,0.2660,0.2589
408,07/28/19 11:00:01 PM,0.2087,0.2660,0.2589
409,07/28/19 11:30:01 PM,0.2087,0.2657,0.2592
410,07/29/19 12:00:01 AM,0.2087,0.2657,0.2592
411,07/29/19 12:30:01 AM,0.2087,0.2657,0.2592
412,07/29/19 01:00:01 AM,0.2087,0.2657,0.2585
413,07/29/19 01:30:01 AM,0.2087,0.2660,0.2589
414,07/29/19 02:00:01 AM,0.2087,0.2660,0.2592
415,07/29/19 02:30:01 AM,0.2080,0.2660,0.2592
416,07/29/19 03:00:01 AM,0.2080,0.2664,0.2589
417,07/29/19 03:30:01 AM,0.2080,0.2666,0.2589
418,07/29/19 04:00:01 AM,0.2080,0.2670,0.2589
419,07/29/19 04:30:01 AM,0.2080,0.2677,0.2585
420,07/29/19 05:00:01 AM,0.2080,0.2673,0.2592
421,07/29/19 05:30:01 AM,0.2080,0.2677,0.2592
422,07/29/19 06:00:01 AM,0.2080,0.2680,0.2592
423,07/29/19 06:30:01 AM,0.2080,0.2680,0.2592
424,07/29/19 07:00:01 AM,0.2073,0.2687,0.2589
425,07/29/19 07:30:01 AM,0.2080,0.2687,0.2592
