"Plot Title: CM2SM"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20684002, LBL: 30CM)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20684009, LBL: 1M)"
71,11/24/20 09:00:01 PM,0.3133,0.2399,0.1495
72,11/24/20 09:30:01 PM,0.3133,0.2399,0.1495
73,11/24/20 10:00:01 PM,0.3133,0.2399,0.1495
74,11/24/20 10:30:01 PM,0.3133,0.2399,0.1499
75,11/24/20 11:00:01 PM,0.3133,0.2399,0.1499
76,11/24/20 11:30:01 PM,0.3133,0.2399,0.1499
77,11/25/20 12:00:01 AM,0.3133,0.2394,0.1495
78,11/25/20 12:30:01 AM,0.3133,0.2394,0.1499
79,11/25/20 01:00:01 AM,0.3133,0.2394,0.1499
80,11/25/20 01:30:01 AM,0.3133,0.2394,0.1499
81,11/25/20 02:00:01 AM,0.3133,0.2394,0.1499
82,11/25/20 02:30:01 AM,0.3133,0.2394,0.1499
83,11/25/20 03:00:01 AM,0.3133,0.2394,0.1499
84,11/25/20 03:30:01 AM,0.3133,0.2394,0.1495
85,11/25/20 04:00:01 AM,0.3133,0.2394,0.1499
86,11/25/20 04:30:01 AM,0.3133,0.2394,0.1495
87,11/25/20 05:00:01 AM,0.3133,0.2394,0.1499
88,11/25/20 05:30:01 AM,0.3133,0.2394,0.1499
89,11/25/20 06:00:01 AM,0.3128,0.2394,0.1495
90,11/25/20 06:30:01 AM,0.3133,0.2399,0.1499
91,11/25/20 07:00:01 AM,0.3133,0.2394,0.1499
92,11/25/20 07:30:01 AM,0.3133,0.2394,0.1503
93,11/25/20 08:00:01 AM,0.3133,0.2399,0.1321
94,11/25/20 08:30:01 AM,0.3128,0.2399,0.1503
95,11/25/20 09:00:01 AM,0.3128,0.2399,0.0702
96,11/25/20 09:30:01 AM,0.3128,0.2399,0.0664
97,11/25/20 10:00:01 AM,0.3128,0.2399,0.0787
98,11/25/20 10:30:01 AM,0.3128,0.2403,0.0581
99,11/25/20 11:00:01 AM,0.3128,0.2403,0.1508
100,11/25/20 11:30:01 AM,0.3128,0.2403,0.1484
101,11/25/20 12:00:01 PM,0.3128,0.2406,0.1499
102,11/25/20 12:30:01 PM,0.3128,0.2406,0.1484
103,11/25/20 01:00:01 PM,0.3128,0.2406,0.1508
104,11/25/20 01:30:01 PM,0.3128,0.2406,0.1508
105,11/25/20 02:00:01 PM,0.3128,0.2406,0.1508
106,11/25/20 02:30:01 PM,0.3128,0.2406,0.1508
107,11/25/20 03:00:01 PM,0.3128,0.2406,0.1503
108,11/25/20 03:30:01 PM,0.3128,0.2406,0.0955
109,11/25/20 04:00:01 PM,0.3128,0.2406,0.1122
110,11/25/20 04:30:01 PM,0.3128,0.2403,0.1416
111,11/25/20 05:00:01 PM,0.3125,0.2403,0.1508
112,11/25/20 05:30:01 PM,0.3125,0.2403,0.1499
113,11/25/20 06:00:01 PM,0.3125,0.2403,0.1508
114,11/25/20 06:30:01 PM,0.3125,0.2403,0.1508
115,11/25/20 07:00:01 PM,0.3125,0.2403,0.1514
116,11/25/20 07:30:01 PM,0.3125,0.2403,0.1514
117,11/25/20 08:00:01 PM,0.3125,0.2403,0.1514
118,11/25/20 08:30:01 PM,0.3125,0.2399,0.1508
119,11/25/20 09:00:01 PM,0.3125,0.2403,0.1514
120,11/25/20 09:30:01 PM,0.3125,0.2399,0.1514
121,11/25/20 10:00:01 PM,0.3125,0.2403,0.1514
122,11/25/20 10:30:01 PM,0.3121,0.2399,0.1514
123,11/25/20 11:00:01 PM,0.3121,0.2399,0.1514
124,11/25/20 11:30:01 PM,0.3125,0.2399,0.1514
125,11/26/20 12:00:01 AM,0.3125,0.2399,0.1514
126,11/26/20 12:30:01 AM,0.3125,0.2394,0.1514
127,11/26/20 01:00:01 AM,0.3125,0.2394,0.1514
128,11/26/20 01:30:01 AM,0.3125,0.2394,0.1514
129,11/26/20 02:00:01 AM,0.3125,0.2394,0.1519
130,11/26/20 02:30:01 AM,0.3125,0.2390,0.1519
131,11/26/20 03:00:01 AM,0.3121,0.2390,0.1519
132,11/26/20 03:30:01 AM,0.3125,0.2390,0.1519
133,11/26/20 04:00:01 AM,0.3125,0.2387,0.1514
134,11/26/20 04:30:01 AM,0.3125,0.2387,0.1519
135,11/26/20 05:00:01 AM,0.3125,0.2387,0.1519
136,11/26/20 05:30:01 AM,0.3125,0.2383,0.1519
137,11/26/20 06:00:01 AM,0.3125,0.2383,0.1519
138,11/26/20 06:30:01 AM,0.3125,0.2379,0.1519
139,11/26/20 07:00:01 AM,0.3125,0.2374,0.1519
140,11/26/20 07:30:01 AM,0.3125,0.2371,0.1523
141,11/26/20 08:00:01 AM,0.3125,0.2371,0.1519
142,11/26/20 08:30:01 AM,0.3125,0.2367,0.1523
143,11/26/20 09:00:01 AM,0.3125,0.2367,0.1519
144,11/26/20 09:30:01 AM,0.3125,0.2367,0.1204
145,11/26/20 10:00:01 AM,0.3125,0.2363,0.1214
146,11/26/20 10:30:01 AM,0.3125,0.2367,0.1107
147,11/26/20 11:00:01 AM,0.3125,0.2367,0.1069
148,11/26/20 11:30:01 AM,0.3125,0.2367,0.1184
149,11/26/20 12:00:01 PM,0.3125,0.2367,0.1199
150,11/26/20 12:30:01 PM,0.3125,0.2371,0.1224
151,11/26/20 01:00:01 PM,0.3125,0.2371,0.1219
152,11/26/20 01:30:01 PM,0.3106,0.2371,0.1174
153,11/26/20 02:00:01 PM,0.3106,0.2371,0.1169
154,11/26/20 02:30:01 PM,0.3106,0.2374,0.1209
155,11/26/20 03:00:01 PM,0.3106,0.2374,0.1375
156,11/26/20 03:30:01 PM,0.3106,0.2374,0.1446
157,11/26/20 04:00:01 PM,0.3106,0.2374,0.1508
158,11/26/20 04:30:01 PM,0.3106,0.2374,0.1523
159,11/26/20 05:00:01 PM,0.3102,0.2374,0.1523
160,11/26/20 05:30:01 PM,0.3102,0.2379,0.1523
161,11/26/20 06:00:01 PM,0.3102,0.2379,0.1523
162,11/26/20 06:30:01 PM,0.3102,0.2379,0.1523
163,11/26/20 07:00:01 PM,0.3102,0.2379,0.1523
164,11/26/20 07:30:01 PM,0.3106,0.2379,0.1527
165,11/26/20 08:00:01 PM,0.3102,0.2379,0.1523
166,11/26/20 08:30:01 PM,0.3102,0.2379,0.1527
167,11/26/20 09:00:01 PM,0.3102,0.2379,0.1532
168,11/26/20 09:30:01 PM,0.3102,0.2379,0.1527
169,11/26/20 10:00:01 PM,0.3102,0.2379,0.1532
170,11/26/20 10:30:01 PM,0.3102,0.2374,0.1532
171,11/26/20 11:00:01 PM,0.3102,0.2374,0.1532
172,11/26/20 11:30:01 PM,0.3102,0.2371,0.1532
173,11/27/20 12:00:01 AM,0.3102,0.2371,0.1532
174,11/27/20 12:30:01 AM,0.3102,0.2367,0.1532
175,11/27/20 01:00:01 AM,0.3102,0.2367,0.1532
176,11/27/20 01:30:01 AM,0.3102,0.2363,0.1538
177,11/27/20 02:00:01 AM,0.3102,0.2358,0.1532
178,11/27/20 02:30:01 AM,0.3102,0.2358,0.1538
179,11/27/20 03:00:01 AM,0.3102,0.2355,0.1538
180,11/27/20 03:30:01 AM,0.3102,0.2355,0.1538
181,11/27/20 04:00:01 AM,0.3102,0.2351,0.1538
182,11/27/20 04:30:01 AM,0.3102,0.2347,0.1532
183,11/27/20 05:00:01 AM,0.3102,0.2347,0.1532
184,11/27/20 05:30:01 AM,0.3102,0.2344,0.1538
185,11/27/20 06:00:01 AM,0.3102,0.2344,0.1538
186,11/27/20 06:30:01 AM,0.3102,0.2339,0.1538
187,11/27/20 07:00:01 AM,0.3102,0.2335,0.1538
188,11/27/20 07:30:01 AM,0.3102,0.2330,0.1538
189,11/27/20 08:00:01 AM,0.3102,0.2330,0.1538
190,11/27/20 08:30:01 AM,0.3102,0.2327,0.1542
191,11/27/20 09:00:01 AM,0.3102,0.2327,0.1542
192,11/27/20 09:30:01 AM,0.3102,0.2327,0.1317
193,11/27/20 10:00:01 AM,0.3102,0.2327,0.1285
194,11/27/20 10:30:01 AM,0.3102,0.2327,0.1352
195,11/27/20 11:00:01 AM,0.3102,0.2327,0.1229
196,11/27/20 11:30:01 AM,0.3102,0.2327,0.1331
197,11/27/20 12:00:01 PM,0.3102,0.2330,0.1261
198,11/27/20 12:30:01 PM,0.3102,0.2330,0.1547
199,11/27/20 01:00:01 PM,0.3102,0.2335,0.1547
200,11/27/20 01:30:01 PM,0.3102,0.2335,0.1547
201,11/27/20 02:00:01 PM,0.3102,0.2335,0.0528
202,11/27/20 02:30:01 PM,0.3102,0.2339,0.1242
203,11/27/20 03:00:01 PM,0.3102,0.2339,0.1547
204,11/27/20 03:30:01 PM,0.3098,0.2339,0.1547
205,11/27/20 04:00:01 PM,0.3098,0.2344,0.1542
206,11/27/20 04:30:01 PM,0.3098,0.2344,0.0745
207,11/27/20 05:00:01 PM,0.3098,0.2344,0.1542
208,11/27/20 05:30:01 PM,0.3098,0.2347,0.1112
209,11/27/20 06:00:01 PM,0.3098,0.2347,0.1547
210,11/27/20 06:30:01 PM,0.3098,0.2351,0.1547
211,11/27/20 07:00:01 PM,0.3098,0.2351,0.1547
212,11/27/20 07:30:01 PM,0.3098,0.2351,0.1547
213,11/27/20 08:00:01 PM,0.3098,0.2351,0.1547
214,11/27/20 08:30:01 PM,0.3098,0.2351,0.1547
215,11/27/20 09:00:01 PM,0.3098,0.2351,0.1547
216,11/27/20 09:30:01 PM,0.3098,0.2351,0.1547
217,11/27/20 10:00:01 PM,0.3095,0.2351,0.1547
218,11/27/20 10:30:01 PM,0.3098,0.2351,0.1547
219,11/27/20 11:00:01 PM,0.3095,0.2351,0.1547
220,11/27/20 11:30:01 PM,0.3098,0.2347,0.1547
221,11/28/20 12:00:01 AM,0.3095,0.2347,0.1547
222,11/28/20 12:30:01 AM,0.3095,0.2344,0.1547
223,11/28/20 01:00:01 AM,0.3095,0.2339,0.1547
224,11/28/20 01:30:01 AM,0.3095,0.2339,0.1551
225,11/28/20 02:00:01 AM,0.3095,0.2335,0.1551
226,11/28/20 02:30:01 AM,0.3095,0.2330,0.1551
227,11/28/20 03:00:01 AM,0.3095,0.2327,0.1547
228,11/28/20 03:30:01 AM,0.3095,0.2327,0.1551
229,11/28/20 04:00:01 AM,0.3095,0.2318,0.1547
230,11/28/20 04:30:01 AM,0.3095,0.2318,0.1551
231,11/28/20 05:00:01 AM,0.3095,0.2315,0.1551
232,11/28/20 05:30:01 AM,0.3095,0.2306,0.1551
233,11/28/20 06:00:01 AM,0.3095,0.2303,0.1551
234,11/28/20 06:30:01 AM,0.3095,0.2299,0.1551
235,11/28/20 07:00:01 AM,0.3095,0.2294,0.1551
236,11/28/20 07:30:01 AM,0.3095,0.2286,0.1551
237,11/28/20 08:00:01 AM,0.3095,0.2282,0.1551
238,11/28/20 08:30:01 AM,0.3095,0.2277,0.1430
239,11/28/20 09:00:01 AM,0.3095,0.2274,0.1558
240,11/28/20 09:30:01 AM,0.3095,0.2269,0.0581
241,11/28/20 10:00:01 AM,0.3095,0.2269,0.0708
242,11/28/20 10:30:01 AM,0.3095,0.2269,0.0678
243,11/28/20 11:00:01 AM,0.3095,0.2269,0.0628
244,11/28/20 11:30:01 AM,0.3098,0.2274,0.0628
245,11/28/20 12:00:01 PM,0.3098,0.2274,0.0544
246,11/28/20 12:30:01 PM,0.3095,0.2274,0.1466
247,11/28/20 01:00:01 PM,0.3095,0.2277,0.1562
248,11/28/20 01:30:01 PM,0.3095,0.2282,0.1566
249,11/28/20 02:00:01 PM,0.3095,0.2282,0.1562
250,11/28/20 02:30:01 PM,0.3095,0.2286,0.1532
251,11/28/20 03:00:01 PM,0.3095,0.2291,0.1523
252,11/28/20 03:30:01 PM,0.3095,0.2291,0.1566
253,11/28/20 04:00:01 PM,0.3092,0.2294,0.1562
254,11/28/20 04:30:01 PM,0.3092,0.2294,0.1562
255,11/28/20 05:00:01 PM,0.3092,0.2294,0.1562
256,11/28/20 05:30:01 PM,0.3092,0.2299,0.1562
257,11/28/20 06:00:01 PM,0.3092,0.2299,0.1562
258,11/28/20 06:30:01 PM,0.3092,0.2303,0.1562
259,11/28/20 07:00:01 PM,0.3092,0.2303,0.1562
260,11/28/20 07:30:01 PM,0.3092,0.2306,0.1562
261,11/28/20 08:00:01 PM,0.3092,0.2306,0.1566
262,11/28/20 08:30:01 PM,0.3087,0.2306,0.1566
263,11/28/20 09:00:01 PM,0.3092,0.2311,0.1566
264,11/28/20 09:30:01 PM,0.3092,0.2311,0.1562
265,11/28/20 10:00:01 PM,0.3092,0.2311,0.1562
266,11/28/20 10:30:01 PM,0.3092,0.2306,0.1566
267,11/28/20 11:00:01 PM,0.3087,0.2306,0.1562
268,11/28/20 11:30:01 PM,0.3092,0.2306,0.1566
269,11/29/20 12:00:01 AM,0.3087,0.2303,0.1566
270,11/29/20 12:30:01 AM,0.3092,0.2299,0.1566
271,11/29/20 01:00:01 AM,0.3092,0.2294,0.1566
272,11/29/20 01:30:01 AM,0.3092,0.2291,0.1570
273,11/29/20 02:00:01 AM,0.3092,0.2291,0.1566
274,11/29/20 02:30:01 AM,0.3087,0.2286,0.1570
275,11/29/20 03:00:01 AM,0.3087,0.2282,0.1570
276,11/29/20 03:30:01 AM,0.3087,0.2277,0.1566
277,11/29/20 04:00:01 AM,0.3092,0.2277,0.1566
278,11/29/20 04:30:01 AM,0.3087,0.2269,0.1566
279,11/29/20 05:00:01 AM,0.3092,0.2269,0.1566
280,11/29/20 05:30:01 AM,0.3087,0.2262,0.1566
281,11/29/20 06:00:01 AM,0.3087,0.2262,0.1566
282,11/29/20 06:30:01 AM,0.3087,0.2257,0.1566
283,11/29/20 07:00:01 AM,0.3087,0.2254,0.1566
284,11/29/20 07:30:01 AM,0.3087,0.2249,0.1566
285,11/29/20 08:00:01 AM,0.3087,0.2245,0.1566
286,11/29/20 08:30:01 AM,0.3087,0.2241,0.1566
287,11/29/20 09:00:01 AM,0.3087,0.2241,0.1577
288,11/29/20 09:30:01 AM,0.3087,0.2237,0.1577
289,11/29/20 10:00:01 AM,0.3087,0.2237,0.0752
290,11/29/20 10:30:01 AM,0.3092,0.2241,0.0896
291,11/29/20 11:00:01 AM,0.3092,0.2241,0.1532
292,11/29/20 11:30:01 AM,0.3087,0.2245,0.1581
293,11/29/20 12:00:01 PM,0.3092,0.2249,0.1585
294,11/29/20 12:30:01 PM,0.3092,0.2249,0.1581
295,11/29/20 01:00:01 PM,0.3087,0.2254,0.1581
296,11/29/20 01:30:01 PM,0.3087,0.2257,0.1581
297,11/29/20 02:00:01 PM,0.3087,0.2262,0.1581
298,11/29/20 02:30:01 PM,0.3087,0.2262,0.1581
299,11/29/20 03:00:01 PM,0.3087,0.2266,0.1581
300,11/29/20 03:30:01 PM,0.3087,0.2269,0.1581
301,11/29/20 04:00:01 PM,0.3087,0.2269,0.1581
302,11/29/20 04:30:01 PM,0.3084,0.2274,0.1577
303,11/29/20 05:00:01 PM,0.3084,0.2274,0.1581
304,11/29/20 05:30:01 PM,0.3084,0.2277,0.1581
305,11/29/20 06:00:01 PM,0.3084,0.2282,0.1577
306,11/29/20 06:30:01 PM,0.3084,0.2282,0.1577
307,11/29/20 07:00:01 PM,0.3084,0.2286,0.1581
308,11/29/20 07:30:01 PM,0.3084,0.2286,0.1581
309,11/29/20 08:00:01 PM,0.3084,0.2291,0.1581
310,11/29/20 08:30:01 PM,0.3084,0.2291,0.1581
311,11/29/20 09:00:01 PM,0.3084,0.2294,0.1577
312,11/29/20 09:30:01 PM,0.3084,0.2294,0.1577
313,11/29/20 10:00:01 PM,0.3084,0.2294,0.1577
314,11/29/20 10:30:01 PM,0.3084,0.2294,0.1581
315,11/29/20 11:00:01 PM,0.3084,0.2294,0.1581
316,11/29/20 11:30:01 PM,0.3084,0.2291,0.1581
317,11/30/20 12:00:01 AM,0.3084,0.2286,0.1581
318,11/30/20 12:30:01 AM,0.3084,0.2282,0.1581
319,11/30/20 01:00:01 AM,0.3080,0.2282,0.1581
320,11/30/20 01:30:01 AM,0.3084,0.2277,0.1581
321,11/30/20 02:00:01 AM,0.3084,0.2274,0.1581
322,11/30/20 02:30:01 AM,0.3080,0.2269,0.1585
323,11/30/20 03:00:01 AM,0.3080,0.2262,0.1577
324,11/30/20 03:30:01 AM,0.3080,0.2257,0.1585
325,11/30/20 04:00:01 AM,0.3084,0.2249,0.1581
326,11/30/20 04:30:01 AM,0.3080,0.2245,0.1585
327,11/30/20 05:00:01 AM,0.3080,0.2237,0.1577
328,11/30/20 05:30:01 AM,0.3080,0.2232,0.1581
329,11/30/20 06:00:01 AM,0.3080,0.2224,0.1585
330,11/30/20 06:30:01 AM,0.3080,0.2216,0.1585
331,11/30/20 07:00:01 AM,0.3080,0.2208,0.1585
332,11/30/20 07:30:01 AM,0.3080,0.2198,0.1585
333,11/30/20 08:00:01 AM,0.3080,0.2190,0.1585
334,11/30/20 08:30:01 AM,0.3080,0.2182,0.1585
335,11/30/20 09:00:01 AM,0.3084,0.2177,0.1585
336,11/30/20 09:30:01 AM,0.3084,0.2169,0.1357
337,11/30/20 10:00:01 AM,0.3084,0.2164,-0.2051
338,11/30/20 10:30:01 AM,0.3084,0.2164,-0.0284
339,11/30/20 11:00:01 AM,0.3084,0.2169,-0.1075
340,11/30/20 11:30:01 AM,0.3084,0.2174,0.1590
341,11/30/20 12:00:01 PM,0.3084,0.2174,0.1596
342,11/30/20 12:30:01 PM,0.3084,0.2182,0.1194
343,11/30/20 01:00:01 PM,0.3084,0.2185,0.1596
344,11/30/20 01:30:01 PM,0.3084,0.2190,0.1596
345,11/30/20 02:00:01 PM,0.3084,0.2198,0.1600
346,11/30/20 02:30:01 PM,0.3080,0.2203,0.1600
347,11/30/20 03:00:01 PM,0.3080,0.2208,0.1600
348,11/30/20 03:30:01 PM,0.3080,0.2208,0.1596
349,11/30/20 04:00:01 PM,0.3080,0.2211,0.1596
350,11/30/20 04:30:01 PM,0.3080,0.2216,0.1596
351,11/30/20 05:00:01 PM,0.3080,0.2219,0.1596
352,11/30/20 05:30:01 PM,0.3080,0.2229,0.1596
353,11/30/20 06:00:01 PM,0.3080,0.2232,0.1596
354,11/30/20 06:30:01 PM,0.3080,0.2237,0.1590
355,11/30/20 07:00:01 PM,0.3077,0.2241,0.1596
356,11/30/20 07:30:01 PM,0.3080,0.2241,0.1590
357,11/30/20 08:00:01 PM,0.3077,0.2241,0.1590
358,11/30/20 08:30:01 PM,0.3077,0.2245,0.1596
359,11/30/20 09:00:01 PM,0.3077,0.2249,0.1596
360,11/30/20 09:30:01 PM,0.3077,0.2254,0.1596
361,11/30/20 10:00:01 PM,0.3077,0.2257,0.1596
362,11/30/20 10:30:01 PM,0.3077,0.2257,0.1596
363,11/30/20 11:00:01 PM,0.3077,0.2257,0.1600
364,11/30/20 11:30:01 PM,0.3077,0.2257,0.1600
365,12/01/20 12:00:01 AM,0.3077,0.2257,0.1600
366,12/01/20 12:30:01 AM,0.3077,0.2257,0.1600
367,12/01/20 01:00:01 AM,0.3077,0.2249,0.1600
368,12/01/20 01:30:01 AM,0.3077,0.2249,0.1600
369,12/01/20 02:00:01 AM,0.3077,0.2245,0.1596
370,12/01/20 02:30:01 AM,0.3077,0.2241,0.1600
371,12/01/20 03:00:01 AM,0.3077,0.2237,0.1600
372,12/01/20 03:30:01 AM,0.3077,0.2229,0.1600
373,12/01/20 04:00:01 AM,0.3077,0.2229,0.1600
374,12/01/20 04:30:01 AM,0.3077,0.2219,0.1600
375,12/01/20 05:00:01 AM,0.3077,0.2211,0.1600
376,12/01/20 05:30:01 AM,0.3077,0.2203,0.1604
377,12/01/20 06:00:01 AM,0.3077,0.2198,0.1600
378,12/01/20 06:30:01 AM,0.3077,0.2195,0.1604
379,12/01/20 07:00:01 AM,0.3077,0.2190,0.1604
380,12/01/20 07:30:01 AM,0.3077,0.2182,0.1604
381,12/01/20 08:00:01 AM,0.3077,0.2182,0.1604
382,12/01/20 08:30:01 AM,0.3077,0.2182,0.1604
383,12/01/20 09:00:01 AM,0.3077,0.2177,0.1608
384,12/01/20 09:30:01 AM,0.3077,0.2177,0.1608
385,12/01/20 10:00:01 AM,0.3077,0.2177,0.0664
386,12/01/20 10:30:01 AM,0.3077,0.2182,0.0547
387,12/01/20 11:00:01 AM,0.3077,0.2185,0.0660
388,12/01/20 11:30:01 AM,0.3077,0.2182,0.0434
389,12/01/20 12:00:01 PM,0.3077,0.2190,0.0660
390,12/01/20 12:30:01 PM,0.3077,0.2195,0.0474
391,12/01/20 01:00:01 PM,0.3077,0.2195,0.0803
392,12/01/20 01:30:01 PM,0.3077,0.2203,0.0574
393,12/01/20 02:00:01 PM,0.3077,0.2208,0.0588
394,12/01/20 02:30:01 PM,0.3077,0.2216,0.0581
395,12/01/20 03:00:01 PM,0.3077,0.2219,0.1615
396,12/01/20 03:30:01 PM,0.3072,0.2219,0.1608
397,12/01/20 04:00:01 PM,0.3072,0.2224,0.1085
398,12/01/20 04:30:01 PM,0.3072,0.2229,0.1261
399,12/01/20 05:00:01 PM,0.3072,0.2229,0.1382
400,12/01/20 05:30:01 PM,0.3072,0.2232,0.1608
401,12/01/20 06:00:01 PM,0.3072,0.2237,0.1604
402,12/01/20 06:30:01 PM,0.3072,0.2241,0.1608
403,12/01/20 07:00:01 PM,0.3072,0.2245,0.1608
404,12/01/20 07:30:01 PM,0.3072,0.2249,0.1608
405,12/01/20 08:00:01 PM,0.3072,0.2254,0.1615
406,12/01/20 08:30:01 PM,0.3072,0.2257,0.1615
407,12/01/20 09:00:01 PM,0.3072,0.2257,0.1615
408,12/01/20 09:30:01 PM,0.3072,0.2262,0.1615
409,12/01/20 10:00:01 PM,0.3072,0.2262,0.1615
410,12/01/20 10:30:01 PM,0.3072,0.2266,0.1615
411,12/01/20 11:00:01 PM,0.3069,0.2266,0.1615
412,12/01/20 11:30:01 PM,0.3069,0.2269,0.1615
413,12/02/20 12:00:01 AM,0.3069,0.2269,0.1615
414,12/02/20 12:30:01 AM,0.3069,0.2269,0.1615
415,12/02/20 01:00:01 AM,0.3069,0.2269,0.1615
416,12/02/20 01:30:01 AM,0.3069,0.2269,0.1615
417,12/02/20 02:00:01 AM,0.3069,0.2266,0.1615
418,12/02/20 02:30:01 AM,0.3069,0.2262,0.1615
419,12/02/20 03:00:01 AM,0.3069,0.2257,0.1615
420,12/02/20 03:30:01 AM,0.3069,0.2254,0.1615
421,12/02/20 04:00:01 AM,0.3069,0.2254,0.1615
422,12/02/20 04:30:01 AM,0.3069,0.2249,0.1619
423,12/02/20 05:00:01 AM,0.3069,0.2245,0.1615
424,12/02/20 05:30:01 AM,0.3069,0.2241,0.1615
425,12/02/20 06:00:01 AM,0.3069,0.2237,0.1619
426,12/02/20 06:30:01 AM,0.3069,0.2232,0.1615
