Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4,WY
2019-12-13,0.328,0.275,0.3,0.292,0.352,0.313,0.272,0.309,0.132,0.228,0.178,0.265,2020
2019-12-20,0.326,0.276,0.3,0.29,0.345,0.312,0.271,0.304,0.151,0.22,0.174,0.263,2020
2019-12-27,0.324,0.272,0.296,0.287,0.342,0.31,0.267,0.305,0.156,0.22,0.171,0.262,2020
2020-01-03,0.327,0.278,0.298,0.294,0.344,0.314,0.272,0.308,0.162,0.229,0.171,0.262,2020
2020-01-10,0.323,0.271,0.295,0.285,0.339,0.31,0.267,0.304,0.165,0.23,0.169,0.261,2020
2020-01-17,0.324,0.273,0.298,0.287,0.339,0.311,0.268,0.302,0.178,0.228,0.167,0.26,2020
2020-01-24,0.342,0.291,0.313,0.311,0.359,0.324,0.284,0.316,0.2,0.318,0.309,0.351,2020
2020-01-31,0.335,0.451,0.325,0.315,0.353,0.449,0.412,0.409,0.175,0.416,0.42,0.441,2020
2020-02-07,0.333,0.501,0.375,0.338,0.388,0.478,0.473,0.424,0.196,0.417,0.301,0.434,2020
2020-02-14,0.345,0.504,0.397,0.339,0.408,0.482,0.447,0.422,0.235,0.419,0.273,0.43,2020
2020-02-21,0.349,0.51,0.395,0.332,0.412,0.487,0.428,0.399,0.251,0.424,0.267,0.429,2020
2020-02-28,0.35,NA,0.381,0.323,0.414,NA,0.422,0.387,0.258,NA,0.272,0.429,2020
2020-03-06,0.349,NA,0.373,0.316,0.417,NA,0.418,0.353,0.263,NA,0.276,0.43,2020
2020-03-13,0.348,NA,0.365,0.311,0.418,NA,0.397,0.337,0.269,NA,0.28,0.429,2020
2020-03-20,0.355,NA,0.456,0.328,0.423,NA,0.394,0.355,0.291,NA,0.294,0.431,2020
2020-03-27,0.388,NA,0.492,0.399,0.427,NA,0.395,0.364,0.298,NA,0.318,0.432,2020
2020-04-03,0.452,NA,0.499,0.462,0.431,NA,0.399,0.373,0.359,NA,0.301,0.432,2020
2020-04-10,0.469,NA,0.5,0.468,0.434,NA,0.408,0.382,0.405,NA,0.312,0.436,2020
2020-04-17,0.469,NA,0.5,0.441,0.435,NA,0.412,0.379,0.401,NA,0.336,0.44,2020
2020-04-24,0.44,0.442,0.467,0.352,0.437,0.441,0.409,0.372,0.392,0.438,0.321,0.444,2020
2020-05-01,0.411,0.312,0.258,0.327,0.438,0.442,0.411,0.339,0.387,0.447,0.346,0.446,2020
2020-05-08,0.392,0.3,0.241,0.314,0.435,0.417,0.398,0.324,0.374,0.446,0.382,0.446,2020
2020-05-15,0.398,0.321,0.387,0.324,0.438,0.444,0.385,0.34,0.381,0.441,0.422,0.448,2020
2020-05-22,0.383,0.298,0.247,0.311,0.416,0.403,0.375,0.325,0.37,0.447,0.434,0.448,2020
2020-05-29,0.367,0.4,0.219,0.298,0.388,NA,0.326,0.315,0.353,0.195,0.399,0.447,2020
2020-06-05,0.351,0.43,0.206,0.289,0.373,NA,0.3,0.311,0.334,0.214,0.33,0.443,2020
2020-06-12,0.33,0.356,0.196,0.278,0.358,0.297,0.29,0.307,0.308,0.5,0.327,0.376,2020
2020-06-19,0.286,0.357,0.165,0.234,0.339,0.324,0.28,0.303,0.216,0.221,0.314,0.321,2020
2020-06-26,0.232,0.544,0.117,0.183,0.312,0.34,0.268,0.297,0.122,0.228,0.24,0.308,2020
2020-07-03,0.216,0.449,0.082,0.154,0.283,0.337,0.257,0.29,0.094,0.273,0.207,0.299,2020
2020-07-10,0.205,0.072,NA,0.129,0.268,0.296,NA,0.281,0.076,0.303,NA,0.292,2020
2020-07-17,0.195,0.041,NA,0.112,0.258,0.285,NA,0.27,0.061,0.293,NA,0.287,2020
2020-07-24,0.187,0.035,NA,0.11,0.252,0.271,NA,0.258,0.056,0.287,NA,0.284,2020
2020-07-31,0.183,0.035,NA,0.112,0.249,0.254,NA,0.246,0.055,0.281,NA,0.282,2020
2020-08-07,0.174,0.032,NA,0.099,0.243,0.248,NA,0.234,0.04,0.29,NA,0.28,2020
2020-08-14,0.167,0.018,NA,0.09,0.24,0.225,NA,0.223,0.032,0.27,NA,0.278,2020
2020-08-21,0.166,0.015,NA,0.09,0.239,0.222,NA,0.217,0.034,0.267,NA,0.277,2020
2020-08-28,0.162,0.009,NA,0.086,0.237,0.217,NA,0.211,0.027,0.259,NA,0.275,2020
2020-09-04,0.157,0.004,NA,0.081,NA,0.212,NA,0.205,0.018,0.249,NA,0.274,2020
2020-09-11,0.154,0.003,NA,0.078,NA,0.209,NA,0.202,0.012,0.24,NA,0.273,2020
2020-09-18,0.154,0.002,NA,0.077,NA,0.208,NA,0.2,0.011,0.231,NA,0.272,2020
2020-09-25,0.154,0.002,NA,0.077,NA,0.206,NA,0.198,0.011,0.219,NA,0.271,2020
2020-10-02,0.152,NA,NA,0.076,NA,0.205,NA,0.197,0.009,0.208,NA,0.27,2021
2020-10-09,0.154,0.003,NA,0.076,NA,0.205,NA,0.196,0.011,0.193,NA,0.269,2021
2020-10-16,0.155,0.004,NA,0.077,NA,0.206,NA,0.195,0.009,0.179,NA,0.268,2021
2020-10-23,0.154,0.071,NA,0.076,NA,0.262,NA,0.195,0.007,0.226,NA,0.267,2021
2020-10-30,0.155,NA,NA,0.076,NA,NA,NA,0.195,0.008,NA,NA,0.268,2021
2020-11-06,0.155,NA,NA,0.126,NA,NA,NA,0.195,0.006,NA,NA,0.269,2021
2020-11-13,0.274,NA,NA,0.266,NA,NA,NA,0.263,0.13,NA,NA,0.27,2021
2020-11-20,0.307,0.24,0.143,0.273,NA,0.313,0.253,0.295,0.268,0.144,0.14,0.272,2021
2020-11-27,0.304,0.226,0.123,0.264,NA,0.308,0.245,0.291,0.266,0.149,0.142,0.271,2021
2020-12-04,0.302,0.213,0.113,0.259,NA,0.304,0.239,0.289,0.265,0.149,0.141,0.271,2021
2020-12-11,0.304,0.231,0.125,0.266,NA,0.31,0.242,0.292,0.271,0.162,0.142,0.272,2021
2020-12-18,0.313,0.246,0.149,0.275,NA,0.318,0.258,0.296,0.281,0.164,0.144,0.273,2021
2020-12-25,0.313,0.247,0.157,0.272,NA,0.319,0.262,0.297,0.283,0.231,0.156,0.278,2021
2021-01-01,0.317,0.254,0.162,0.277,NA,0.321,0.266,0.298,0.292,0.266,0.162,0.285,2021
2021-01-08,0.321,0.276,0.166,0.281,NA,0.322,0.267,0.298,0.302,0.27,0.163,0.287,2021
2021-01-15,0.324,0.286,0.169,0.291,NA,0.325,0.271,0.3,0.308,0.268,0.165,0.289,2021
2021-01-22,0.319,0.277,0.156,0.281,NA,0.319,0.263,0.297,0.296,0.279,0.161,0.286,2021
2021-01-29,0.319,0.279,0.167,0.282,NA,0.324,0.266,0.297,0.3,0.274,0.161,0.289,2021
2021-02-05,0.324,0.287,0.178,0.292,NA,0.331,0.27,0.299,0.315,0.278,0.161,0.289,2021
2021-02-12,0.33,0.287,0.186,0.294,NA,0.331,0.275,0.301,0.324,0.294,0.169,0.303,2021
2021-02-19,0.33,0.288,0.181,0.291,NA,0.327,0.272,0.301,0.322,0.327,0.174,0.41,2021
2021-02-26,0.329,0.291,0.184,0.306,NA,0.336,0.273,0.362,0.316,0.384,0.234,0.434,2021
2021-03-05,0.331,0.299,0.19,0.341,NA,0.448,0.283,0.404,0.322,0.408,0.432,0.43,2021
2021-03-12,0.334,0.363,0.204,0.39,NA,0.479,0.415,0.404,0.329,0.401,0.435,0.423,2021
2021-03-19,0.333,0.49,0.343,0.428,NA,0.481,0.493,0.402,0.326,0.404,0.437,0.422,2021
2021-03-26,0.336,0.496,0.5,0.436,NA,0.483,0.495,0.402,0.321,0.397,0.438,0.423,2021
2021-04-02,0.362,0.501,0.527,0.442,NA,0.484,0.496,0.402,0.348,0.407,0.444,0.429,2021
2021-04-09,0.373,0.498,0.43,0.392,NA,0.485,0.496,0.399,0.361,0.415,0.45,0.437,2021
2021-04-16,0.369,0.529,0.285,0.346,NA,0.522,0.498,0.393,0.364,0.47,0.454,0.442,2021
2021-04-23,0.375,NA,0.336,0.339,NA,NA,0.498,0.353,0.368,NA,0.455,0.445,2021
2021-04-30,0.362,NA,NA,0.319,NA,NA,NA,0.326,0.357,NA,NA,0.446,2021
2021-05-07,0.346,NA,NA,0.301,NA,NA,NA,0.31,0.34,NA,NA,0.445,2021
2021-05-14,0.335,NA,NA,0.289,NA,NA,NA,0.303,0.327,NA,NA,0.443,2021
2021-05-21,0.322,NA,NA,0.278,NA,NA,NA,0.299,0.31,NA,NA,0.419,2021
2021-05-28,0.286,NA,NA,0.237,NA,NA,NA,0.294,0.249,NA,NA,0.324,2021
2021-06-04,0.233,NA,NA,0.179,NA,NA,NA,0.286,0.146,NA,NA,0.308,2021
2021-06-11,0.221,NA,NA,0.161,NA,NA,NA,0.279,0.116,NA,NA,0.299,2021
2021-06-18,0.205,NA,NA,0.13,NA,NA,NA,0.266,0.086,NA,NA,0.292,2021
2021-06-25,0.197,NA,NA,0.114,NA,NA,NA,0.246,0.071,NA,NA,0.286,2021
