Date,VWC_30cm_MM1SM,VWC_10cm_MM1SM,VWC_30cm_MMSM3,VWC_30cm_MMSM4,VWC_30cm_MMSM9.2,VWC_10cm_MMSM5,VWC_30cm_MMSM5,VWC_1m_MM1SM,VWC_1m_MMSM5,VWC_10cm_MMSM2,VWC_10cm_MMSM3,VWC_10cm_MMSM4,VWC_30cm_MMSM2,VWC_1m_MMSM3,VWC_75cm_MMSM2,VWC_75cm_MMSM4,WY
2019-11-01,0.217,0.203,0.253,NA,NA,0.235,0.209,NA,0.232,NA,0.241,NA,NA,0.225,NA,NA,2020
2019-11-08,0.214,0.194,0.253,NA,NA,0.229,0.208,NA,0.233,NA,0.234,NA,NA,0.225,NA,NA,2020
2019-11-15,0.214,0.191,0.255,NA,NA,0.223,0.209,NA,0.232,NA,0.227,NA,NA,0.224,NA,NA,2020
2019-11-22,0.218,0.19,0.256,NA,NA,0.205,0.212,NA,0.234,NA,0.224,NA,NA,0.224,NA,NA,2020
2019-11-29,0.244,0.184,0.279,NA,NA,0.253,0.273,NA,0.239,NA,0.275,NA,NA,0.225,NA,NA,2020
2019-12-06,0.308,0.267,0.322,0.275,NA,0.318,0.316,NA,0.324,0.298,0.315,0.313,0.334,0.283,0.335,0.302,2020
2019-12-13,0.311,0.286,0.319,0.268,NA,0.311,0.309,NA,0.331,0.295,0.31,0.313,0.331,0.295,0.335,0.304,2020
2019-12-20,0.307,0.284,0.315,0.261,NA,0.31,0.306,NA,0.326,0.294,0.309,0.309,0.326,0.29,0.333,0.3,2020
2019-12-27,0.305,0.282,0.312,0.252,NA,0.305,0.302,NA,0.323,0.292,0.306,0.306,0.323,0.287,0.331,0.298,2020
2020-01-03,0.307,0.284,0.313,0.254,NA,0.299,0.301,NA,0.323,0.293,0.305,0.305,0.323,0.285,0.332,0.298,2020
2020-01-10,0.305,0.281,0.31,0.245,NA,0.292,0.298,NA,0.32,0.291,0.301,0.303,0.32,0.281,0.33,0.296,2020
2020-01-17,0.305,0.286,0.31,0.255,NA,0.306,0.299,NA,0.323,0.293,0.304,0.305,0.321,0.279,0.329,0.296,2020
2020-01-24,0.353,0.303,0.324,0.283,NA,0.328,0.312,NA,0.357,0.305,0.316,0.32,0.336,0.399,0.339,0.307,2020
2020-01-31,0.498,0.305,0.326,0.271,NA,0.312,0.306,NA,0.487,0.3,0.312,0.313,0.331,0.51,0.348,0.314,2020
2020-02-07,0.497,0.294,0.329,0.272,NA,0.314,0.302,NA,0.488,0.302,0.316,0.311,0.334,0.512,0.389,0.333,2020
2020-02-14,0.502,0.303,0.424,0.29,NA,0.321,0.309,NA,0.489,0.293,0.369,0.315,0.354,0.543,0.446,0.503,2020
2020-02-21,0.504,0.352,NA,0.281,NA,0.328,0.313,NA,0.491,0.296,NA,0.311,0.354,NA,0.447,0.476,2020
2020-02-28,0.501,0.342,NA,0.271,NA,0.316,0.306,NA,0.492,0.305,NA,0.308,0.346,NA,0.446,0.357,2020
2020-03-06,0.505,0.333,NA,0.265,NA,0.312,0.302,NA,0.493,0.304,NA,0.307,0.341,NA,0.445,0.331,2020
2020-03-13,0.51,0.332,NA,0.265,NA,0.317,0.304,NA,0.494,0.306,NA,0.311,0.339,NA,0.404,0.323,2020
2020-03-20,0.504,0.39,NA,0.285,NA,0.33,0.315,NA,0.495,0.315,NA,0.316,0.354,NA,0.443,0.41,2020
2020-03-27,0.504,0.486,NA,0.399,NA,0.343,0.374,NA,0.498,0.371,NA,0.325,0.435,NA,0.451,0.492,2020
2020-04-03,0.505,0.492,NA,0.467,NA,0.395,0.476,NA,0.5,0.383,NA,0.329,0.48,NA,0.452,0.495,2020
2020-04-10,0.506,0.474,NA,0.47,NA,0.467,0.474,NA,0.5,0.356,NA,0.328,0.478,NA,0.454,0.502,2020
2020-04-17,0.507,0.391,NA,0.47,NA,0.397,0.44,NA,0.498,0.333,NA,0.322,0.431,NA,0.455,0.507,2020
2020-04-24,0.505,0.357,0.381,0.365,NA,0.367,0.342,NA,0.498,0.321,0.322,0.316,0.379,0.509,0.453,0.509,2020
2020-05-01,0.459,0.344,0.354,0.295,NA,0.344,0.317,NA,0.498,0.313,0.313,0.309,0.353,0.509,0.431,0.437,2020
2020-05-08,0.363,0.335,0.341,0.266,NA,0.329,0.306,NA,0.497,0.307,0.309,0.3,0.341,0.51,0.377,0.332,2020
2020-05-15,0.462,0.344,0.353,0.289,NA,0.341,0.317,NA,0.494,0.312,0.316,0.315,0.353,0.51,0.429,0.419,2020
2020-05-22,0.483,0.345,0.352,0.283,NA,0.325,0.312,NA,0.491,0.309,0.311,0.306,0.351,0.51,0.436,0.395,2020
2020-05-29,0.368,0.338,0.338,0.254,NA,0.298,0.302,NA,0.482,0.306,0.304,0.288,0.338,0.511,0.371,0.323,2020
2020-06-05,0.342,0.344,0.331,0.231,NA,0.272,0.296,NA,0.388,0.299,0.3,0.269,0.329,0.509,0.355,0.313,2020
2020-06-12,0.332,0.338,0.326,0.209,NA,0.249,0.289,NA,0.343,0.282,0.296,0.255,0.32,0.469,0.346,0.307,2020
2020-06-19,0.324,0.305,0.322,0.186,NA,0.212,0.275,NA,0.326,0.235,0.286,0.234,0.295,0.329,0.336,0.301,2020
2020-06-26,0.308,0.245,0.317,0.168,NA,0.175,0.251,NA,0.313,0.186,0.266,0.216,0.25,0.308,0.324,0.293,2020
2020-07-03,0.262,0.223,0.31,0.158,NA,0.155,0.233,NA,0.296,0.162,0.247,0.206,0.228,0.3,0.314,0.278,2020
2020-07-10,0.216,0.201,0.303,0.153,NA,0.139,0.225,NA,0.257,0.139,0.226,0.198,0.216,0.295,0.305,0.241,2020
2020-07-17,0.2,0.187,0.294,0.151,NA,0.127,0.221,NA,0.227,0.121,0.209,0.19,0.208,0.29,0.297,0.224,2020
2020-07-24,0.198,0.223,0.287,0.148,NA,0.202,0.218,NA,0.222,0.183,0.245,0.233,0.244,0.286,0.289,0.221,2020
2020-07-31,0.208,0.263,0.285,0.147,NA,0.256,0.226,NA,0.225,0.243,0.27,0.26,0.272,0.283,0.283,0.223,2020
2020-08-07,0.208,0.242,0.282,0.148,NA,0.206,0.233,NA,0.222,0.192,0.249,0.225,0.25,0.279,0.276,0.223,2020
2020-08-14,0.201,0.219,0.278,0.148,NA,0.168,0.235,NA,0.218,0.148,0.23,0.207,0.229,0.275,0.27,0.221,2020
2020-08-21,0.197,0.207,0.274,0.146,NA,0.157,0.233,NA,0.217,0.137,0.219,0.201,0.217,0.272,0.267,0.219,2020
2020-08-28,0.193,0.196,0.27,0.146,NA,0.146,0.231,NA,0.214,0.125,0.21,0.196,0.21,0.268,0.264,0.217,2020
2020-09-04,0.189,0.186,0.264,0.146,NA,0.136,0.226,NA,0.212,0.112,0.202,0.19,0.204,0.263,0.262,0.214,2020
2020-09-11,0.187,0.181,0.26,0.143,NA,0.132,0.22,NA,0.212,0.107,0.199,0.188,0.199,0.262,0.26,0.213,2020
2020-09-18,0.186,0.178,0.258,0.142,NA,0.131,NA,NA,0.212,0.105,0.197,0.187,0.197,0.262,0.259,0.212,2020
2020-09-25,0.185,0.177,0.256,0.141,NA,0.131,NA,NA,0.213,0.102,0.195,0.186,0.195,0.262,0.257,0.212,2020
2020-10-02,0.184,0.174,0.254,0.14,NA,0.129,NA,NA,0.214,0.098,0.193,0.185,0.193,0.261,0.256,0.212,2021
2020-10-09,0.183,0.174,0.253,0.138,NA,0.13,NA,NA,0.214,0.099,0.193,0.185,0.192,0.261,0.255,0.212,2021
2020-10-16,0.183,0.174,0.252,0.138,NA,0.131,NA,NA,0.214,0.098,0.194,0.185,0.191,0.261,0.254,0.212,2021
2020-10-23,0.181,0.173,0.251,0.136,NA,0.131,NA,NA,0.215,0.097,0.194,0.185,0.19,0.261,0.253,0.211,2021
2020-10-30,0.181,0.173,0.251,0.135,NA,0.132,NA,NA,0.215,0.097,0.195,0.185,0.19,0.264,0.253,0.212,2021
2020-11-06,0.181,0.174,0.251,0.133,NA,0.133,NA,NA,0.216,0.099,0.196,0.185,0.19,0.266,0.252,0.211,2021
2020-11-13,0.209,0.22,0.268,0.154,NA,0.263,NA,NA,0.218,0.261,0.256,0.229,0.232,0.265,0.251,0.212,2021
2020-11-20,0.305,0.297,0.311,0.234,NA,0.299,0.159,NA,0.219,0.289,0.3,0.298,0.311,0.264,0.254,0.212,2021
2020-11-27,0.299,0.288,0.304,0.219,NA,0.237,0.21,NA,0.221,0.276,0.286,0.274,0.302,0.265,0.259,0.213,2021
2020-12-04,0.294,0.271,0.3,0.208,NA,0.227,0.206,NA,0.223,0.264,0.262,0.247,0.296,0.265,0.261,0.215,2021
2020-12-11,0.29,0.273,0.298,0.202,NA,0.234,0.204,NA,0.225,0.265,0.27,0.249,0.293,0.266,0.263,0.216,2021
2020-12-18,0.294,0.294,0.308,0.223,NA,0.262,0.201,NA,0.226,0.282,0.295,0.265,0.303,0.265,0.264,0.217,2021
2020-12-25,0.3,0.287,0.316,0.25,NA,0.293,0.223,NA,0.234,0.286,0.299,0.254,0.312,0.29,0.266,0.219,2021
2021-01-01,0.303,0.289,0.317,0.256,NA,0.287,0.234,NA,0.296,0.294,0.301,0.274,0.311,0.299,0.268,0.22,2021
2021-01-08,0.306,0.307,0.318,0.255,NA,0.301,0.117,NA,0.318,0.295,0.304,0.302,0.316,0.299,0.281,0.234,2021
2021-01-15,0.311,0.303,0.322,0.265,NA,0.295,0.085,NA,0.317,0.296,0.307,0.303,0.32,0.303,0.315,0.302,2021
2021-01-22,0.307,0.237,0.315,0.248,NA,0.25,0.084,NA,0.315,0.293,0.299,0.291,0.316,0.299,0.321,0.3,2021
2021-01-29,0.306,0.257,0.313,0.242,NA,0.271,0.107,NA,0.311,0.297,0.299,0.3,0.316,0.297,0.32,0.3,2021
2021-02-05,0.309,0.313,0.319,0.254,NA,0.314,0.143,NA,0.311,0.299,0.305,0.305,0.321,0.302,0.326,0.304,2021
2021-02-12,0.313,0.327,0.325,0.264,NA,0.335,0.027,NA,0.319,0.301,0.31,0.31,0.325,0.307,0.333,0.307,2021
2021-02-19,0.311,0.324,0.321,0.261,NA,0.334,0.116,NA,0.324,0.299,0.306,0.307,0.324,0.305,0.333,0.306,2021
2021-02-26,0.312,0.324,0.322,0.257,NA,0.331,0.107,NA,0.323,0.299,0.307,0.306,0.326,0.306,0.333,0.305,2021
2021-03-05,0.317,0.326,0.328,0.263,NA,0.338,0.051,NA,0.331,0.303,0.31,0.312,0.331,0.468,0.337,0.308,2021
2021-03-12,0.336,0.329,0.326,0.264,NA,0.339,0.121,NA,0.342,0.304,0.309,0.314,0.331,0.513,0.338,0.309,2021
2021-03-19,0.497,0.339,0.342,0.269,NA,0.346,0.114,0.615,0.495,0.308,0.312,0.321,0.335,0.514,0.384,0.385,2021
2021-03-26,NA,NA,0.478,0.432,NA,0.432,0.032,NA,0.492,0.416,0.417,0.334,0.451,0.513,0.455,0.509,2021
2021-04-02,NA,NA,0.481,0.471,NA,0.493,NA,NA,0.491,0.441,0.429,0.334,0.484,0.516,0.462,0.511,2021
2021-04-09,NA,NA,0.482,0.476,NA,0.443,0.072,NA,0.488,0.347,0.342,0.322,0.47,0.515,0.465,0.512,2021
2021-04-16,NA,NA,0.457,0.412,NA,0.388,0.095,NA,0.489,0.33,0.321,0.316,0.401,0.517,0.466,0.515,2021
2021-04-23,NA,NA,0.42,0.389,NA,0.376,0.077,NA,0.492,0.329,0.322,0.316,0.402,0.518,0.466,0.518,2021
2021-04-30,NA,NA,0.379,0.327,NA,0.359,0.181,NA,0.493,0.326,0.312,0.308,0.383,0.519,0.467,0.504,2021
2021-05-07,NA,NA,0.344,0.276,NA,0.332,0.092,NA,0.494,NA,0.302,0.292,NA,0.52,NA,0.344,2021
2021-05-14,NA,NA,0.333,0.251,NA,0.312,0.136,NA,0.471,NA,0.294,0.264,NA,0.522,NA,0.318,2021
2021-05-21,NA,NA,0.326,0.234,NA,0.292,NA,NA,0.36,NA,0.288,0.245,NA,0.522,NA,0.31,2021
2021-05-28,NA,NA,0.322,0.214,NA,0.256,NA,NA,0.332,NA,0.278,0.22,NA,0.462,NA,0.304,2021
2021-06-04,NA,NA,0.316,0.188,NA,0.211,NA,NA,0.32,NA,0.265,0.201,NA,0.328,NA,0.298,2021
2021-06-11,NA,NA,0.311,0.172,NA,0.191,NA,NA,0.312,NA,0.251,0.194,NA,0.311,NA,0.292,2021
2021-06-18,NA,NA,0.304,0.16,NA,0.167,NA,NA,0.3,NA,0.231,0.185,NA,0.304,NA,0.278,2021
2021-06-25,NA,NA,0.292,0.152,NA,0.153,NA,NA,0.276,NA,0.212,0.178,NA,0.298,NA,0.25,2021
