Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4,WY
2020-07-18,0.194,0.038,NA,0.11,0.257,0.283,NA,0.268,0.059,0.292,NA,0.287,2020
2020-07-25,0.187,0.037,NA,0.112,0.252,0.269,NA,0.256,0.057,0.287,NA,0.284,2020
2020-08-01,0.182,0.032,NA,0.11,0.248,0.252,NA,0.244,0.052,0.281,NA,0.282,2020
2020-08-08,0.172,0.033,NA,0.097,0.243,0.248,NA,0.233,0.038,0.292,NA,0.28,2020
2020-08-15,0.166,0.018,NA,0.09,0.24,0.225,NA,0.222,0.033,0.27,NA,0.278,2020
2020-08-22,0.166,0.014,NA,0.089,0.239,0.221,NA,0.216,0.033,0.266,NA,0.277,2020
2020-08-29,0.162,0.008,NA,0.085,0.237,0.216,NA,0.21,0.026,0.257,NA,0.275,2020
2020-09-05,0.157,0.004,NA,0.08,NA,0.211,NA,0.204,0.017,0.248,NA,0.274,2020
2020-09-12,0.154,0.002,NA,0.077,NA,0.209,NA,0.201,0.012,0.239,NA,0.273,2020
2020-09-19,0.154,0.002,NA,0.077,NA,0.208,NA,0.2,0.011,0.229,NA,0.272,2020
2020-09-26,0.153,0.002,NA,0.077,NA,0.206,NA,0.198,0.011,0.217,NA,0.271,2020
2020-10-03,0.152,NA,NA,0.075,NA,0.205,NA,0.197,0.009,0.206,NA,0.27,2021
2020-10-10,0.154,0.003,NA,0.077,NA,0.205,NA,0.196,0.012,0.191,NA,0.269,2021
2020-10-17,0.155,0.009,NA,0.077,NA,0.21,NA,0.195,0.009,0.181,NA,0.268,2021
2020-10-24,0.154,NA,NA,0.076,NA,NA,NA,0.195,0.007,NA,NA,0.267,2021
2020-10-31,0.155,NA,NA,0.084,NA,NA,NA,0.195,0.007,NA,NA,0.268,2021
2020-11-07,0.159,NA,NA,0.135,NA,NA,NA,0.196,0.008,NA,NA,0.269,2021
2020-11-14,0.293,NA,NA,0.278,NA,NA,NA,0.277,0.166,NA,NA,0.27,2021
2020-11-21,0.307,0.239,0.14,0.271,NA,0.312,0.253,0.294,0.269,0.144,0.14,0.272,2021
2020-11-28,0.303,0.224,0.122,0.263,NA,0.308,0.244,0.291,0.266,0.15,0.142,0.271,2021
2020-12-05,0.301,0.208,0.11,0.259,NA,0.303,0.238,0.289,0.263,0.15,0.141,0.271,2021
2020-12-12,0.307,0.24,0.134,0.269,NA,0.313,0.245,0.293,0.275,0.164,0.142,0.272,2021
2020-12-19,0.311,0.245,0.147,0.273,NA,0.317,0.257,0.296,0.279,0.165,0.145,0.273,2021
2020-12-26,0.313,0.247,0.157,0.272,NA,0.319,0.263,0.297,0.284,0.241,0.157,0.279,2021
2021-01-02,0.319,0.258,0.165,0.278,NA,0.321,0.267,0.298,0.294,0.271,0.163,0.287,2021
2021-01-09,0.322,0.278,0.167,0.283,NA,0.323,0.268,0.299,0.303,0.271,0.164,0.288,2021
2021-01-16,0.324,0.286,0.168,0.29,NA,0.324,0.271,0.3,0.307,0.268,0.164,0.288,2021
2021-01-23,0.318,0.276,0.154,0.279,NA,0.318,0.262,0.297,0.294,0.278,0.161,0.286,2021
2021-01-30,0.319,0.281,0.17,0.284,NA,0.326,0.267,0.297,0.302,0.274,0.161,0.289,2021
2021-02-06,0.326,0.289,0.181,0.293,NA,0.332,0.272,0.3,0.317,0.28,0.161,0.291,2021
2021-02-13,0.33,0.285,0.184,0.292,NA,0.329,0.274,0.301,0.323,0.295,0.17,0.305,2021
2021-02-20,0.33,0.29,0.18,0.293,NA,0.329,0.272,0.303,0.322,0.338,0.175,0.427,2021
2021-02-27,0.329,0.291,0.186,0.309,NA,0.338,0.274,0.376,0.315,0.388,0.27,0.433,2021
2021-03-06,0.332,0.301,0.191,0.347,NA,0.467,0.284,0.404,0.324,0.403,0.432,0.429,2021
2021-03-13,0.335,0.388,0.209,0.399,NA,0.48,0.445,0.403,0.331,0.411,0.436,0.423,2021
2021-03-20,0.331,0.492,0.369,0.427,NA,0.481,0.493,0.402,0.322,0.403,0.437,0.421,2021
2021-03-27,0.34,0.497,0.517,0.439,NA,0.483,0.495,0.402,0.324,0.397,0.439,0.424,2021
2021-04-03,0.364,0.501,0.526,0.441,NA,0.484,0.496,0.402,0.35,0.406,0.445,0.43,2021
2021-04-10,0.373,0.501,0.399,0.381,NA,0.487,0.496,0.399,0.363,0.414,0.451,0.438,2021
2021-04-17,0.369,0.534,0.279,0.343,NA,0.531,0.498,0.385,0.363,0.498,0.454,0.443,2021
2021-04-24,0.375,NA,0.336,0.338,NA,NA,0.498,0.352,0.368,NA,0.455,0.446,2021
2021-05-01,0.359,NA,NA,0.316,NA,NA,NA,0.323,0.354,NA,NA,0.446,2021
2021-05-08,0.344,NA,NA,0.299,NA,NA,NA,0.309,0.338,NA,NA,0.445,2021
2021-05-15,0.333,NA,NA,0.287,NA,NA,NA,0.303,0.325,NA,NA,0.443,2021
2021-05-22,0.32,NA,NA,0.275,NA,NA,NA,0.299,0.306,NA,NA,0.403,2021
2021-05-29,0.278,NA,NA,0.227,NA,NA,NA,0.293,0.232,NA,NA,0.321,2021
2021-06-05,0.23,NA,NA,0.176,NA,NA,NA,0.285,0.139,NA,NA,0.307,2021
2021-06-12,0.219,NA,NA,0.157,NA,NA,NA,0.278,0.112,NA,NA,0.298,2021
2021-06-19,0.204,NA,NA,0.127,NA,NA,NA,0.263,0.083,NA,NA,0.291,2021
2021-06-26,0.195,NA,NA,0.112,NA,NA,NA,0.242,0.069,NA,NA,0.285,2021
2021-07-03,0.186,0.036,0.037,0.1,NA,0.233,0.183,0.218,0.05,0.281,0.166,0.281,2021
2021-07-10,0.175,0.026,0.015,0.089,NA,0.226,0.153,0.203,0.034,0.278,0.16,0.278,2021
2021-07-17,0.169,0.019,NA,0.082,NA,0.221,0.121,0.198,0.023,0.27,0.153,0.276,2021
2021-07-24,0.168,0.02,NA,0.081,NA,0.219,0.11,0.197,0.024,0.263,0.149,0.275,2021
2021-07-31,0.167,0.028,NA,0.082,NA,0.221,0.137,0.196,0.024,0.262,0.144,0.273,2021
2021-08-07,0.165,NA,0.012,0.08,NA,NA,0.137,0.195,0.019,NA,0.138,0.272,2021
2021-08-14,0.163,NA,0.014,0.08,NA,NA,0.132,0.195,0.017,NA,0.13,0.271,2021
2021-08-21,0.161,NA,0.01,0.079,NA,NA,0.134,0.195,0.012,NA,0.125,0.27,2021
2021-08-28,0.158,NA,0.015,0.079,NA,NA,0.122,0.194,0.011,NA,0.115,0.269,2021
2021-09-04,0.156,NA,0.011,NA,NA,NA,0.116,0.194,0.01,NA,0.105,0.268,2021
2021-09-11,0.156,NA,0.013,NA,NA,NA,0.109,0.195,0.01,NA,0.099,0.267,2021
2021-09-18,0.162,NA,0.041,NA,NA,NA,0.132,0.196,0.055,NA,0.1,0.267,2021
2021-09-25,0.216,NA,0.066,NA,NA,NA,0.129,0.205,0.083,NA,0.103,0.267,2021
2021-10-02,0.213,NA,0.078,NA,NA,NA,NA,NA,0.1,NA,0.106,0.267,NA
2021-10-09,0.197,NA,0.076,NA,NA,NA,NA,NA,0.103,NA,0.107,0.267,NA
2021-10-16,0.259,NA,0.138,NA,NA,NA,NA,NA,0.14,NA,0.106,0.274,NA
2021-10-23,0.318,NA,0.203,NA,NA,NA,NA,NA,0.268,NA,0.17,0.304,NA
2021-10-30,0.311,NA,0.188,NA,NA,NA,NA,NA,0.277,NA,0.173,0.301,NA
2021-11-06,0.318,NA,0.195,NA,NA,NA,NA,NA,0.291,NA,0.166,0.297,NA
2021-11-13,0.316,NA,0.189,NA,NA,NA,NA,NA,0.29,NA,0.164,0.298,NA
2021-11-20,0.317,NA,0.189,NA,NA,NA,NA,NA,0.292,NA,0.161,0.298,NA
2021-11-27,0.313,NA,NA,NA,NA,NA,NA,NA,0.288,NA,0.159,0.298,NA
